table_schema,table_name,column_name,data_type
dbt-cchia,business_features_inference,id_business_id,integer
dbt-cchia,business_features_inference,id_company_id,integer
dbt-cchia,business_features_inference,ts_ds,date
dbt-cchia,business_features_inference,mc_int_business_region,integer
dbt-cchia,business_features_inference,mc_str_business_region_name,character varying
dbt-cchia,business_features_inference,mc_str_business_name,character varying
dbt-cchia,business_features_inference,mc_str_business_display_name,character varying
dbt-cchia,business_features_inference,mc_str_business_type,character varying
dbt-cchia,business_features_inference,rv_int_total_shifts,bigint
dbt-cchia,business_features_inference,rv_int_total_filled_shifts,bigint
dbt-cchia,business_features_inference,rv_int_total_completed_shifts,bigint
dbt-cchia,business_features_inference,rv_float_fill_rate,double precision
dbt-cchia,business_features_inference,rv_float_avg_business_rating_by_worker,bigint
dbt-cchia,business_features_inference,rv_float_avg_worker_rating_by_business,bigint
dbt-cchia,business_features_inference,mc_str_partner_status,character varying
dbt-cchia,business_features_inference,mc_str_partner_period,character varying
dbt-cchia,business_features_inference,mc_str_partner_type,character varying
dbt-cchia,business_features_inference,mc_str_primary_industry,character varying
dbt-cchia,business_features_inference,mc_str_secondary_industry,character varying
dbt-cchia,business_features_inference,rv_int_unique_workers,bigint
dbt-cchia,business_features_inference,rv_int_total_unique_workers,bigint
dbt-cchia,business_features_inference,ts_first_shift_date,timestamp without time zone
dbt-cchia,business_features_inference,ts_last_shift_date,timestamp without time zone
dbt-cchia,business_features_inference,rv_int_days_since_first_shift,bigint
dbt-cchia,business_features_inference,rv_int_days_since_last_shift,bigint
dbt-cchia,business_features_inference,rv_int_shifts_l90d,bigint
dbt-cchia,business_features_inference,rv_int_w2_employees_only,bigint
dbt-cchia,business_features_inference,rv_int_total_ratings_by_workers,bigint
dbt-cchia,business_features_inference,rv_int_total_ratings_by_business,bigint
dbt-cchia,business_features_inference,rv_float_avg_filled_shift_business_rate,numeric
dbt-cchia,business_features_inference,rv_float_avg_unfilled_shift_business_rate,numeric
dbt-cchia,business_features_inference,rv_float_avg_filled_shift_applicant_rate,numeric
dbt-cchia,business_features_inference,rv_float_avg_unfilled_shift_applicant_rate,numeric
dbt-cchia,business_features_inference,rv_int_num_gigs,bigint
dbt-cchia,business_features_inference,rv_int_num_gigs_posted,bigint
dbt-cchia,business_features_inference,rv_int_num_gigs_filled,bigint
dbt-cchia,business_features_inference,rv_float_gig_fill_rate,double precision
dbt-cchia,business_features_inference,rv_int_unique_companies,bigint
dbt-cchia,business_features_inference,rv_int_unique_shift_days,bigint
dbt-cchia,business_features_inference,rv_int_business_cumulative_filled_shifts,bigint
dbt-cchia,business_features_inference,mc_str_business_timezone,character varying
dbt-cchia,business_features_inference,rv_int_daily_shifts,bigint
dbt-cchia,business_features_inference,rv_int_days_since_last_ud,bigint
dbt-cchia,business_features_inference,ts_gig_date,timestamp without time zone
dbt-cchia,business_features_inference,rv_int_cancelled_filled_shifts,bigint
dbt-cchia,business_features_inference,rv_int_total_cancelled_shifts,bigint
dbt-cchia,business_features_inference,rv_int_n_booked_shifts,bigint
dbt-cchia,business_features_inference,rv_int_n_completed_shifts,bigint
dbt-cchia,business_features_inference,rv_int_active_pros,bigint
